"siteId","activityId","startDate","endDate","health_eru","first_aid","rescue","hygiene_promo","wash","pss_counseling","child_activities","total_pss","total_rfl","total_rfl_vulnerable","info_services","wifi_mobile","phone_cards_calls","hotline_calls","other_services","total_health","total_connectivity","total_wash","total_ppl_reached","Total.RFL","locationId","locationName","latitude","longitude","partnerId","partnerName"
1760436699,70700,"2015-12-26","2016-01-01",107,0,0,100,0,600,283,883,0,1,200,10,0,0,0,990,210,100,1301,1,519440442,"Samos",37.75,26.83333,13753,"Samos"
1761906635,70700,"2016-01-16","2016-01-22",0,2,0,0,0,5,24,29,1,0,15,0,0,0,240,31,15,0,287,1,569080712,"Kos",36.85,27.23333,13910,"Hellenic Red Cross"
1783641003,70700,"2016-06-03","2016-06-09",198,0,0,0,0,260,0,260,0,0,0,0,0,0,0,458,0,0,458,0,1198055428,"Skaramagas",38.0048,23.5891,13761,"Athens"
1791578938,70700,"2016-04-29","2016-05-05",0,21,0,0,0,0,43,43,0,1,98,561,86,2,0,64,747,0,812,1,755114467,"Lesvos",39.1,26.55,13752,"Lesbos"
1796594534,70700,"2016-02-26","2016-03-03",356,0,0,0,0,12,217,229,0,0,4,0,0,0,0,585,4,0,589,0,461396992,"Diavata",40.7,22.86,13838,"Diavata"
1796704936,70700,"2016-06-03","2016-06-09",0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9,9,1116080926,"Oraiokastro",40.729,22.9105,13910,"Hellenic Red Cross"
1799227814,70700,"2016-03-04","2016-03-10",216,0,0,100,0,1375,348,1723,0,0,0,0,0,0,0,1939,0,100,2039,0,1094663034,"Chios",38.38333,26.11667,13754,"Chios"
1808304168,70700,"2016-03-11","2016-03-17",441,0,0,0,0,27,0,27,1,0,55,0,0,0,0,468,55,0,524,1,1537547328,"Idomeni",41.1265,22.518,13760,"Idomeni"
1839945061,70700,"2016-04-22","2016-04-28",181,0,0,267,0,300,0,300,1,0,0,0,0,0,0,481,0,267,749,1,519440442,"Samos",37.75,26.83333,13753,"Samos"
1847806735,70700,"2016-04-29","2016-05-05",153,0,0,194,0,268,0,268,2,0,0,0,0,0,0,421,0,194,617,2,519440442,"Samos",37.75,26.83333,13753,"Samos"
1863490621,70700,"2016-01-30","2016-02-04",0,3,0,0,0,2,25,27,0,0,28,0,0,0,358,30,28,0,416,0,569080712,"Kos",36.85,27.23333,13910,"Hellenic Red Cross"
1863591434,70700,"2016-03-11","2016-03-17",563,15,0,0,0,380,455,835,434,191,111,0,0,195,0,1413,306,0,2344,625,2025732386,"Athens",37.96667,23.71667,13761,"Athens"
1897296652,70700,"2016-03-25","2016-03-31",0,28,135,0,0,0,0,0,1,0,63,470,109,18,0,163,660,0,824,1,755114467,"Lesvos",39.1,26.55,13752,"Lesbos"
1923597761,70700,"2016-03-11","2016-03-17",164,0,0,110,0,0,0,0,0,0,164,0,4,0,0,164,168,110,442,0,519440442,"Samos",37.75,26.83333,13753,"Samos"
1924892453,70700,"2016-04-15","2016-04-21",212,0,0,25,0,48,124,172,2,0,0,0,8,0,9,384,8,25,428,2,461396992,"Diavata",40.7,22.86,13838,"Diavata"
1947445487,70700,"2016-04-29","2016-05-05",262,0,0,0,0,35,0,35,2,1,15,0,0,0,0,297,15,0,315,3,1537547328,"Idomeni",41.1265,22.518,13760,"Idomeni"
1960195440,70700,"2016-04-08","2016-04-14",279,0,0,145,0,1085,355,1440,0,0,0,0,0,0,0,1719,0,145,1864,0,1094663034,"Chios",38.38333,26.11667,13754,"Chios"
