"siteId","activityId","startDate","endDate","nurse_vols","nurse_vols_hrs","social_vols","social_vols_hrs","samaritan_vols","samaritan_vols_hrs","rfl_vols","rfl_vols_hrs","fasttrack_vols","fasttrack_vols_hrs","Beneficiary.Volunteers","Beneficiaries.Hours.of.Service","staffvols_trained","Total.Volunteers..incl.Ben..","Total.Volunteer.Hours..incl.Ben..","Total.Volunteers..excl.Ben..","Total.Volunteer.Hours..excl.Ben..","locationId","locationName","latitude","longitude","partnerId","partnerName"
1669263741,70698,"2016-04-01","2016-04-07",6,34,17,85,25,125,2,12,0,0,0,0,19,50,256,50,256,461396992,"Diavata",40.7,22.86,13838,"Diavata"
1674070636,70698,"2016-01-16","2016-01-22",15,70,0,0,0,0,0,0,0,0,0,0,0,15,70,15,70,1094663034,"Chios",38.38333,26.11667,13910,"Hellenic Red Cross"
1677679736,70698,"2016-01-09","2016-01-15",19,47,0,0,0,0,0,0,0,0,0,0,0,19,47,19,47,1094663034,"Chios",38.38333,26.11667,13910,"Hellenic Red Cross"
1697178514,70698,"2016-01-09","2016-01-15",0,0,12,72,4,320,2,3,0,0,0,0,0,18,395,18,395,569080712,"Kos",36.85,27.23333,13910,"Hellenic Red Cross"
1699636712,70698,"2016-04-08","2016-04-14",1,12,0,0,0,0,0,0,0,0,0,0,0,1,12,1,12,519440442,"Samos",37.75,26.83333,13753,"Samos"
1702158086,70698,"2016-01-09","2016-01-15",12,112,0,0,0,0,0,2,0,0,0,0,0,12,114,12,114,519440442,"Samos",37.75,26.83333,13753,"Samos"
1749027458,70698,"2016-06-10","2016-06-16",18,126,14,89,10,75,0,0,0,0,0,0,11,42,290,42,290,2025732386,"Athens",37.96667,23.71667,13761,"Athens"
1816015297,70698,"2016-02-26","2016-03-03",0,0,8,42,0,0,0,0,0,0,0,0,0,8,42,8,42,569080712,"Kos",36.85,27.23333,13759,"Kos"
1829654448,70698,"2016-03-04","2016-03-10",4,32,18,108,38,228,0,0,0,0,0,0,0,60,368,60,368,461396992,"Diavata",40.7,22.86,13838,"Diavata"
1889431932,70698,"2016-06-10","2016-06-16",6,19,0,0,0,0,0,0,0,0,0,0,0,6,19,6,19,1094663034,"Chios",38.38333,26.11667,13754,"Chios"
1922864373,70698,"2016-02-24","2016-02-25",4,16,1,8,15,75,0,0,0,0,0,0,0,20,99,20,99,461396992,"Diavata",40.7,22.86,13838,"Diavata"
1930645339,70698,"2016-04-01","2016-04-07",24,168,85,510,54,324,2,12,0,0,0,0,0,165,1014,165,1014,2025732386,"Athens",37.96667,23.71667,13761,"Athens"
1942124696,70698,"2016-06-03","2016-06-09",0,0,0,0,0,0,1,8,0,0,0,0,0,1,8,1,8,1116080926,"Oraiokastro",40.729,22.9105,13910,"Hellenic Red Cross"
1945156020,70698,"2016-01-09","2016-01-15",6,30,4,20,0,0,0,0,0,0,0,0,11,10,50,10,50,2025732386,"Athens",37.96667,23.71667,13910,"Hellenic Red Cross"
1945204247,70698,"2016-06-10","2016-06-16",0,0,0,0,0,0,1,8,0,0,0,0,0,1,8,1,8,1116080926,"Oraiokastro",40.729,22.9105,13910,"Hellenic Red Cross"
1961610593,70698,"2016-05-06","2016-05-12",7,82,0,0,0,0,2,19,0,0,0,0,0,9,101,9,101,519440442,"Samos",37.75,26.83333,13753,"Samos"
1977856400,70698,"2016-03-11","2016-03-17",16,71,0,0,0,0,0,0,0,0,0,0,0,16,71,16,71,1094663034,"Chios",38.38333,26.11667,13754,"Chios"
1989738421,70698,"2016-06-17","2016-06-23",9,40,2,10,3,36,0,0,0,0,4,8,0,18,94,14,86,2141418389,"Ritsona",38.39,23.5,13840,"Ritsona"
1991981961,70698,"2016-03-25","2016-03-31",2,30,0,0,0,0,1,2,0,0,0,0,0,3,32,3,32,519440442,"Samos",37.75,26.83333,13753,"Samos"
2001235466,70698,"2016-06-03","2016-06-09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354452122,"Nea Kavala",40.99,22.62,13839,"Nea Kavala"
2014312840,70698,"2016-02-19","2016-02-25",4,24,18,90,0,80,9,30,0,0,0,0,1,31,224,31,224,1537547328,"Idomeni",41.1265,22.518,13760,"Idomeni"
2020076042,70698,"2016-06-03","2016-06-09",0,0,0,0,0,0,0,0,0,0,45,900,0,45,900,0,0,354452122,"Nea Kavala",40.99,22.62,13839,"Nea Kavala"
