"siteId","activityId","startDate","endDate","Nursing_Vols","Nursing_Hrs_Service","SocWel_Vols","SocWel_Hrs_Service","Sam_Vols","Sam_Hrs_Service","RFL_Vols","RFL_Hrs_Service","FTTraining_Vols","FTTraining_Hrs_Service","Ben_Vols","Ben_Hrs_Service","Staff_Vols_Trained","tVols_IncBen","tVolsHrs_IncBen","tVols_ExcBen","tVolsHrs_ExcBen","Male","Female","Under5","tBen","Men_Women_Under5","Family_Parcels","Food_Parcels","Food_To_Go","Hot_Meals","Water_Bottles","Survival_Kits","tFood","Fem_HygKits","Male_HygKits","Unisex_HygKits","San_Pads","Razors","BabyKits","Diapers","tHygiene","tHygKits","Sleeping_Bags","Camping_Mats","High_Thermal_Blankets","Med_Thermal_Blankets","Jackets","Socks","tTextiles","Duffel_Bags","Backpacks","tBags","tWarmth","tClothing","Alum_Blankets","Other","tNFI_Other","Tea","Plastic_Cups","Sugar_Packs","Plastic_Bags","tRamadan","tDistributions","Health_IncERU","First_Aid","Rescue","Hyg_Promo","WASH","PSS_Counseling","Child_Activities","tPSS","tRFL","tRFL_Vulnerable","Info_Services","WIFI_Mobile","PhoneCards_Calls","Hotline_Calls","tHealth","tConnect","tWASH","tPpl_Reached","locationId","locationName","latitude","longitude","partnerId","partnerName","Data.Collection","Severity"
603993369,74621,"2016-03-03","2016-03-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,17,4,44,0,0,42,0,0,88,0,42,0,0,16,0,0,2,168,186,16,0,0,0,0,0,0,0,0,29,29,0,0,0,0,29,0,0,0,0,0,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,519440442,"Samos",37.75,26.83333,13753,"Samos","",""
621822224,74621,"2016-06-10","2016-06-16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,454,454,0,0,0,0,0,454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569257762,"Cherso",41.09591,22.7691697,13837,"Cherso","",""
636895103,74621,"2016-03-18","2016-03-24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,67,17,166,0,0,156,0,0,0,0,156,0,0,72,24,100,10,0,206,72,0,0,0,0,0,0,0,0,112,112,0,0,0,0,112,0,0,0,0,0,474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,519440442,"Samos",37.75,26.83333,13753,"Samos","",""
653007184,74621,"2016-06-03","2016-06-09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0,10,0,0,0,0,10,0,0,14,0,0,4,0,18,14,0,0,0,10,0,0,10,0,14,14,10,0,0,0,14,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,519440442,"Samos",37.75,26.83333,13753,"Samos","",""
674632431,74621,"2016-06-10","2016-06-16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3752,3752,0,0,0,0,0,3752,0,0,0,0,0,0,1000,2750,3750,0,0,0,0,0,0,0,0,1020,0,1020,0,0,0,1022,5794,0,0,0,0,0,9544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354452122,"Nea Kavala",40.99,22.62,13839,"Nea Kavala","",""
714211285,74621,"2016-02-19","2016-02-25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12804,12804,0,3144,0,0,5278,0,3144,0,0,284,47,650,712,80,1773,284,0,0,341,1788,0,0,2129,0,560,560,2129,0,0,0,560,0,0,0,0,0,12884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1537547328,"Idomeni",41.1265,22.518,13760,"Idomeni","",""
715850583,74621,"2016-02-05","2016-02-11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,22,44,205,0,23,131,0,0,380,0,154,20,0,150,0,140,8,0,318,170,0,0,136,0,0,0,136,0,157,157,136,0,0,358,515,0,0,0,0,0,1503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569080712,"Kos",36.85,27.23333,13759,"Kos","",""
735292855,74621,"2016-03-25","2016-03-31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23524,23524,0,1700,0,0,0,0,1700,0,0,1068,291,1200,0,0,2559,1068,0,0,853,0,100,0,953,0,1400,1400,853,100,0,18862,20262,0,0,0,0,0,25474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1537547328,"Idomeni",41.1265,22.518,13760,"Idomeni","",""
742422066,74621,"2016-02-05","2016-02-11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16031,16031,0,5706,0,0,3740,0,5706,0,0,1704,94,1103,278,623,3802,1704,0,0,99,332,308,0,739,2044,0,2044,431,308,0,0,2044,0,0,0,0,0,16031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1537547328,"Idomeni",41.1265,22.518,13760,"Idomeni","",""
744890301,74621,"2016-04-15","2016-04-21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,39,89,164,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,89,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,10,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,755114467,"Lesvos",39.1,26.55,13752,"Lesbos","",""
751032865,74621,"2016-04-15","2016-04-21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,519440442,"Samos",37.75,26.83333,13753,"Samos","",""
759945792,74621,"2016-03-18","2016-03-24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16288,16288,0,0,0,0,10584,0,0,0,0,1702,250,840,432,0,3224,1702,0,0,1320,280,0,0,1600,0,880,880,1600,0,0,0,880,0,0,0,0,0,16288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461396992,"Diavata",40.7,22.86,13838,"Diavata","",""
794612879,74621,"2016-01-23","2016-01-29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,985,745,525,2255,0,0,1610,0,0,3236,0,1610,0,0,1184,121,123,10,0,1438,1184,0,0,764,0,0,0,764,1633,0,1633,764,0,0,714,2347,0,0,0,0,0,9395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,755114467,"Lesvos",39.1,26.55,13752,"Lesbos","",""
801409377,74621,"2016-05-20","2016-05-26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,23,0,48,0,0,8,0,0,0,0,8,0,0,24,0,0,0,0,24,24,0,0,0,30,0,0,30,0,0,0,30,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,519440442,"Samos",37.75,26.83333,13753,"Samos","",""
833624527,74621,"2016-06-24","2016-06-30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461396992,"Diavata",40.7,22.86,13838,"Diavata","",""
842478535,74621,"2016-01-23","2016-01-29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,207,0,63,0,0,0,46,63,59,0,0,0,0,13,0,72,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1094663034,"Chios",38.38333,26.11667,13910,"Hellenic Red Cross","",""
901572251,74621,"2016-01-23","2016-01-29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,208,55,601,0,0,560,0,0,972,0,560,0,0,48,7,100,41,0,196,48,0,0,15,0,0,0,15,0,320,320,15,0,50,0,370,0,0,0,0,0,2113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,519440442,"Samos",37.75,26.83333,13753,"Samos","",""
917885870,74621,"2015-12-26","2016-01-01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,130,57,427,0,144,0,0,0,0,240,144,130,0,0,0,0,40,0,170,130,105,105,0,0,0,0,210,0,0,0,210,0,0,0,240,0,0,0,0,0,764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,519440442,"Samos",37.75,26.83333,13753,"Samos","",""
